(D)1. 下列何者非行政程序法第一條之立法目的？
(A) 經行政機關確認其無效之日起失其效力
(B) 經行政法院確認其無效之日起失其效力
(C) 經行政機關撤銷該處分之日起失其效力
(D) 自始不生效力

(C)348. 關於行政處分效力之敘述，下列何者錯誤？
(A) 書面之行政處分，原則上自送達相對人起，對其發生效力
(B) 無效之行政處分，自始不生效力
(C) 行政處分一部無效者'全部無效
(D) 違法行政處分經撤銷後，原則上溯及既往失其效力

(C)349. 行政處分未經撤銷、廢止，或未因其他事由而失效者，其效力如何？
(A) 任何人皆可肯定其其效力
(B) 任何人皆可撤銷之
(C) 其效力繼續存在
(D) 任何人皆將補正之

(A)350. 行政處分生效後，未經撤銷、廢止或因其他事由而失效者，處分當事人受其拘束。此即行政處分之何種效力？
(A) 存續力
(B) 執行力
(C) 確認效力
(D) 構成要件效力

(B)351. 依據行政程序法規定，有關行政處分效力之敘述，下列何者錯誤？
(A) 無效之行政處分自始不生效力
(B) 書面行政處分自送達當事人之翌日起發生效力
(C) 一殺處分自公告日起發生效力
(D) 書面以外之行政處分自使相對人知悉時起1依使知悉之內容對其發生效力

(B)352. 行政處分有不能由書面處分中得知處分機關之情形時，其效力為何？
(A) 仍屬有效
(B) 無效
(C) 一部分無效，其他部分仍為有效
(D) 其有效或無效，行政機關得依職權確認之

(C)353. 行政程序法第ni條之規定，不能由書面處分中得知處分機關之行政處分無效。此規定應為下列何種行政法原則之具體展現？
(A) 信賴保護原則
(B) 合法裁量原則
(C) 明確性原則
(D) 比例原則

(D)354. 依行政程序法第111條之規定，行政處分有下列何種情形者，該行政處分無效？
(A) 未記載理由
(B) 未舉行聽證
(C) 未給予該處分相對人陳述意見之機會
(D) 應以證書方式作成而未給予證書者

(A)355. 依行政程序法規定，行政處分無效之情形係指下列何者？
(A) 內容對任何人均屬不能實現者
(B) 未通知處分相對人陳述意見
(C) 未要求當事人提供資料即作成行政處分
(D) 未給予當事人答辯或舉行聽證即作成行政處分［§111］

(C)356. 下列何者非屬無效之行政處分？
(A) 內容違背公共秩序、善良風俗者
(B) 不能由書面處分中得知處分機關者
(C) 內容對少數人而言屬不能實現者
(D) 應以證書方式作成而未給予證書者［§111］

(A)357. 關於行政機關未經授權而違背法規有關專屬管轄之規定而作成之行政處分，下列敘述何者正確？
(A) 自始不生效力
(B) 得依申請補正
(C) 違法而得撤銷
(D) 得轉換為其他行政處分

(D)358. 下列何者非行政處分無效之情形？
(A) 所要求或許可之行為構成犯罪者
(B) 內容對任何人均屬不能實現者
(C) 應以證書方式作成而未給予證書者
(D) 未經授權而違背法規有關一般管轄之規定

(D)359. 下列何者為無效之行政處分？
(A) 行政處分未以書面為之
(B) 書面行政處分未記明理由
(C) 書面行政處分未告知救濟方法、期間及其受理機關
(D) 行政處分未經授權而違背法規有關專屬管轄之規定

(A)360. 內容違背公共秩序、善良風俗者之情形時，其效力為何？
(A) 無效之行政處分
(B) 得撤銷之行政處分
(C) 行政處分之廢止
(D) 有效之行政處分

(A)361. 未經授權而違背法規有關專屬管轄之規定或缺乏事務權限者之情形時，其效力為何？
(A) 無效之行政處分
(B) 得撤銷之行政處分
(C) 行政處分之廢止
(D) 有效之行政處分

(A)362. 下列何者非屬行政處分無效之原因？
(A) 核發證照，當事人申請程序有瑕疵
(B) 許可之行為構成犯罪
(C) 應以證書方式作成而未給予證書
(D) 處分內容對任何人均屬不能實現

(B)363. 依行政程序法第111條規定，下列哪個行政處分有效？
(A) 不能由書面處分中得知處分機關者
(B) 所要求或許可之行為不構成犯罪者
(C) 應以證書方式作成而未給予證書者
(D) 未經授權而違背法規有關專屬管轄之規定或缺乏事務權限者

(D)364. 下列何程行政處分是屬無效的行政處分？
(A) 行政處分未記載理由
(B) 行政處分之作成未舉行聽證
(C) 行政處分之作成未予當事人陳述意見
(D) 行政處分應以證書作成而未給予證書

(D)365. 下列何者非屬行政處分無效之情形？
(A) 不能由書面處分中得知處分機關者
(B) 應以證書方式作成而未給予證書者
(C) 內容對任何人均屬不能實現者
(D) 必須記明之理由即使已於事後記明者

(A)366. 下列何者為無效之行政處分？
(A) 未發給專利證書之專利權許可
(B) 任命犯有貪污罪前科之人為公務人員
(C) 土地重測發生錯誤之登記
(D) 對冒用殘障身分之車輛所有人，作成免繳使用牌照稅之決定

(A)367. 下列何者為無效之行政處分？
(A) 未發給專利證書之專利許可
(B) 任命判決有期徒刑確定但宣告緩刑之人為公務員
(C) 違背土地管轄之規定
(D) 以上皆是

(A)368. 行政處分一部分無效者除去該無效部分，行政處分即不能成立者外，其法律效果為何？
(A) 其他部分仍為有效
(B) 全部無效
(C) 由行政機關依裁量決定
(D) 由行政法院決定

(D)369. 下列何者並非行政處分無效之原因？
(A) 不能由處分書中得知處分機關
(B) 內容對任何人均屬不能實現者
(C) 應以證書方式作成而未給予證書者
(D) 處分欠缺管轄權之依據者

(A)370. 行政處分有一部分無效時，對其他部分影響如何？
(A) 原則上該部分無效，但是其他部分仍為有效
(B) 原則上全部無效
(C) 由相對人依其意思決定
(D) 由行政機關依裁量決定

(C)371. 有關行政處分效力之描述，下列那一項為錯誤？
(A) 處分一部無效，其他部分原則上仍為有效
(B) 處分之無效，行政機關得依職權確認之
(C) 處分有瑕疵而未經撤銷者，其效力未定
(D) 無效之行政處分，自始不生效力

(C)372. 下列何種行政處分無效？
(A) 處分機關住址不明者
(B) 對相對人而言，實現行政處分內容顯有相當困難者
(C) 應以證書方式作成而未給予證書者
(D) 相對人名譽因此受到重大明顯影響者

(D)373. 下列行政處分，何者無效？
(A) 處分未附記救濟期間與方法
(B) 處分未附理由
(C) 處分未以書面為之
(D) 處分內容違背公共秩序、善良風俗

(A)374. 依行政程序法之規定，下列何者非屬行政處分無效之事由？
(A) 因裁量逾越所作成者
(B) 內容違背公共秩序、善良風俗者
(C) 應以證書方式作成而未給予證書者
(D) 由書面處分中得知處分機關者

(A)375. 行政處分若應以證書方式作成而未給予證書時，其法律效果為何？
(A) 無效
(B) 得撤銷
(C) 得補正
(D) 得轉換為非要式行政處分

(D)376. 關於行政處分無效之敘述，下列何者錯誤？
(A) 所要求或許可之行為構成犯罪者，無效
(B) 不能由書面處分中得知處分機關者，蕪效
(C) 其他具有重大明顯之瑕疵者，無效
(D) 所要求或許可之行為構成行政罰者，無效(§111］

(A)377. 依行政程序法第111條規定，下列何者非屬行政處分絕對無效之原因？
(A) 缺團體或功能管轄
(B) 不能由書面處分中得知處分機關
(C) 應以證書方式作成而未給予證書
(D) 內容對任何人均屬不能實現者

(C)378. 下列何者係屬行政處分無效之事由？
(A) 書面之行政處分未於處分書上記載理由及其法令依據
(B) 作成限制或剝奪人民自由或權利之行政處分前，未給予處分相對人陳述意見之機會
(C) 應以證書方式作成而未給予證書
(D) 處分內容所要求或許可之行為違反民法規定

(C)379. 下列何者，非屬於行政處分之無效原因？
(A) 不能由書面處分中得知處分機關者
(B) 應以證書方式作成而未給予書面者
(C) 非因重大明顯之情事而欠缺一般事務管轄權限
(D) 未經授權而違背土地專屬管轄之規定

(A)380. 某行政機關之書面行政處分因製作疏漏-致無法由處分中得知處分機關。請問下列敘述何者正確？
(A) 該行政處分應屬無效
(B) 該行政處分得撤銷
(C) 該行政處分顯然違法，但行政機關得轉換為合法之行政處分
(D) 政處分得補正

(B)381. 下列何種態樣屬於無效行政處分？
(A) 行政處分記載處分機關為臺中市政府，但無該市政府
(B) 以口頭方式授予會計師資格首長之署名或簽章
(C) 作成行政處分之委員會組成未符合法定要件
(D) 發給育兒津貼之處分未給予相對人陳述意見之機會［107年地方政府四等特考】

(A)382. 關於無效之行政處分，下列敘述何者錯誤？
(A) 行政處分只要違反任何一項合法性要件，即屬無效
(B) 行政處分之無效，得由行政法院以判決確認之
(C) 主張行政處分無效者，應先請求原處分機關確認之
(D) 行政處分之無效，行政機關得依職權確認之

(A)383. 行政處分之內容違反公共秩序或善良風俗者，屬於：
(A) 無效之行政處分
(B) 得撤銷之行政處分
(C) 得廢止之行政處分
(D) 得補正之行政處分

(A)384. 依行政程序法第H2條之規定，行政處分一部分無效者，其他部分之效力為何？
(A) 仍為有效
(B) 全部無效
(C) 得撤銷
(D) 得廢止

(A)385. 依行政程序法第112條規定，行政處分一部分無效者，其他部分仍為有效。但除去該無效部分'行政處分不能成立者，其效力為何？
(A) 全部無效
(B) 部分無效
(C) 全部有效
(D) 部分有效

(D)386. 依行政程序法規定，有關行政處分效力之敘述，下列何者錯誤？
(A) 無效之行政處分自始不生效力
(B) 行政處分一部分無效者，其他部分仍為有效
(C) 除去無效部分，行政處分不能成立者，則全部無效
(D) 行政處分之無效，行政機關不得依職權確認之

(A)387. 依據行政程序法之規定，下列敘述何者錯誤？
(A) 行政處分一部分無效者，其他部分亦併同無效
(B) 行政處分之無效，行政機關得依職權確認之
(C) 行政處分之相對人或利害關係人有正當理由請求確認行政處分無效時處分機關應確認其為有效或無效
(D) 違法行政處分於法定救濟期間經過後，原處分機關得依職權為全部或一部之撤銷；其上級機關，亦得為之

(C)388. 下列有關行政處分之敘述，何者正確？
(A) 行政處分一部分無效者，其他部分隨之無效
(B) 違法行政處分於法定救濟期間經過後，原處分機關不得撤銷，僅得由其上級機關為之
(C) 無效之行政處分自始不生效力
(D) 違法行政處分經撤銷後，一律自撤銷時起失其效力

(A)389. 有關行政處分之無效判定，原則上是由下列何單位決定？
(A) 行政機關得依職權確認之
(B) 由法院依法判定
(C) 由行政院核定
(D) 由機關首長決定

(A)390. 有關無效行政處分之敘述'下列何者錯誤？
(A) 行政處分具有重大瑕疵者-一律無效
(B) 行政處分之無效，行政機關得依職權確認之
(C) 處分之相對人得請求處分機關確認其行政處分無效
(D) 處分相對人對於無效之行政處分，得提起確認行政處分無效之訴

(B)391. 依行政程序法規定，下列有關行政處分效力之敘述，何者錯誤？
(A) 無效之行政處分自始不生效力
(B) 行政處分之無效，行政機關不得依職權確認之
(C) 行政處分未經撤銷、廢止，或未因其他事由而失效者其效力繼續存在
(D) 書面之行政處分自送達相對人及已知之利害關係人起；書面以外之行政處分自以其他適當方法通知或使其知悉時起，依送達、通知或使知悉之內容對其發生效力

(D)392. 依行政程序法第113條規定，行政處分之無效，由下列何者確認?
(A) 原處分機關之上級機關
(B) 原處分機關之訴願審議委員會
(C) 原處分機關之法規審議委員會
(D) 原處分機關

(B)393. 未記明理由之書面行政處分，且非屬行政程序法第111條之無效者，依行政程序法規定，下列何者敘述錯誤？
(A) 未限制人民之權益者，得不記明理由
(B) 如必須記明理由者，該瑕疵行政處分更正後即可完善
(C) 已於事後記明之補正行為，僅得於訴願程序終結前為之
(D) 已於事後記明之補正行為，得不經訴願程序者，僅得於向行政法院起訴前為之

(B)394. 應參與行政處分作成之其他機關，未參與處分之作成，原則上該行政處分之效力如何？
(A) 無效
(B) 得補正
(C) 應予廢止
(D) 該行政處分之效力不受影響

(B)395. 依行政程序法規定，關於行政處分瑕疵之補正，下列敘述何者錯誤？
(A) 應給予當事人陳述意見之機會已於事後給予
(B) 應以證書方式作成已於事後給予
(C) 必須記明之理由已於事後記明理由
(D) 應參與行政處分作成之其他機關已於事後參與

(B)396. 下列何種情形屬於行政處分得補正之程序瑕疵？
(A) 處分機關欠缺事物管轄權限
(B) 行政處分未記明必須記明之理由
(C) 行政處分未依法送達
(D) 行政處分有裁量瑕疵

(A)397. 關於行政處分補正之敘述，下列何者錯誤？
(A) 補正之內容包含程序及實體瑕疵
(B) 須經申請之處分因事後提出申請而補正
(C) 應參與作成處分之其他機關因事後參與而補正
(D) 須記明理由者因事後記明而補正

(D)398. 有瑕疵行政處分之補正，乃為顧及社會生活之安定，法規規定使其成為無瑕疵之處分,下列何者屬不能補正之瑕疵？
(A) 須經申請始得作成之行政處分，當事人已於事後提出者
(B) 應參與行政處分作成之委員會已於事後作成決議者
(C) 應給予當事人陳述意見之機會已於事後給予者
(D) 不確定法律概念判斷錯誤，事後予以改正者

(B)399. 應給予當事人陳述意見之機會而未給予者，該行政處分效力為何？
(A) 自始不生效力
(B) 得事後給予而補正
(C) 不得補正，僅能撤銷
(D) 得以轉換為其他行政處分

(B)400. 下列何項有瑕疵行政處分無法因事後補正而有效？
(A) 必須記明之理由已於事後記明者
(B) 應以證書方式作成已於事後給予證書者
(C) 應給予當事人陳述意見之機會已於事後給予者
(D) 應參與行政處分作成之其他機關已於事後參與者

(A)401. 下列瑕疵行政處分之補正行為，何者得於行政訴訟審理程序中為之？
(A) 須經申請始得作成之行政處分，當事人已於事後提出者
(B) 其必須記明之理由，已於事後記明者
(C) 應給予當事人陳述意見之機會，已於事後給予者
(D) 應參與行政處分作成之委員會，已於事後作成決議者

(C)402. 違反程序或方式規定之行政處分，雖為違反之行政處分，但其內容並未違法，原則上應容許其作何種行為，此稱為：
(A) 更正
(B) 轉換
(C) 補正
(D) 補發

(B)403. 下列何項有瑕疵行政處分無法因事後補正而有效？
(A) 必須記明之理由已於事後記明者
(B) 因法律概念判斷錯誤，事後予以改正者
(C) 應給予當事人陳述意見之機會已於事後給予者
(D) 應參與行政處分作成之其他機關已於事後參與者

(D)404. 下列何項有瑕疵行政處分無法因事後祠正而有效？
(A) 必須記明之理由已於事後記明者
(B) 應參與行政處分作成之其他機關已於事後參與者
(C) 應給予當事人陳述意見之機會已於事後給予者
(D) 處分機關欠缺事物管轄權限

(A)405. 下列何種行政處分之補正行為，不限於訴願程序終結前為之？
(A) 須經申請始得作成之行政處分，當事人已於事後提出者
(B) 其必須記明之理由，已於事後記明者
(C) 應予當事人陳述意見之機會，已於事後給予者
(D) 應參與行政處分作成之委員會1已於事後作成決議者

(A)406. 行政處分作成必須記明之理由卻未記明時，得不經訴願程序者，則事後最晚應於何時補正，始能成為合法之行政處分？
(A) 行政法院起訴前
(B) 得隨時補正
(C) 訴願程序終結前
(D) 該行政處分不得補正

(C)407. 依行政程序法規定，須經申請始得作成之行政處分，卻未經當事人之申請，則該行政處分之效力，應為下列何者？
(A) 自始不生效力
(B) 得轉換
(C) 得補正
(D) 得更正

(C)408. 有關行政處分效力之敘述，下列何者錯誤？
(A) 無效之行政處分，自始不生效力
(B) 行政處分一部無效，原則上其他部分仍為有效
(C) 違反土地管轄皆屬重大瑕疵，行政處分無效
(D) 行政處分之無效，機關得依職權確認

(D)409. 行政處分違反土地管轄之規定者，如無行政程序法第H1條第6款規定之情形，該行政處分之效力為何？
(A) 得轉換
(B) 得補正
(C) 效力未定
(D) 有管轄權之機關如就該事件仍應為相同之處分時，原處分無須撤銷

(B)410. 有關行政處分有瑕疵時之處理方式，下列何者正確？
(A) 行政處分之內容有誤寫時，應得依申請或職權撤銷後重新作處分
(B) 行政處分有違反土地管轄之規定時'既然依行政程序法規定並非無效，且有管轄權之機關就該事件仍應為相同之處分，原行政處分無須撤銷
(C) 授益行政處分因違法而須加以撤銷時，雖受益人符合信賴保護之情形，為撤銷之機關仍不應給予補償
(D) 行政處分必須記明之理由而未記明，屬重大明顯之瑕疵，應屬無效，不得事後補正

(B)411. 某一行政處分雖屬違法，但如具備另一行政處分的條件，且和當事人的原意不相衝突時，可另作成行政處分而使其發生效力，此稱為：
(A) 行政處分瑕疵的治癒
(B) 違法行政處分的轉換
(C) 無效行政處分的治癒
(D) 無效行政處分的強制執行

(B)412. 某一行政處分雖屬違法，但如具備另一行政處分的條件，且和當事人的原意不相衝突時，可另作成行政處分而使其發生效力，此稱為：
(A) 更正
(B) 轉換
(C) 補正
(D) 廢棄

(D)413. 依照行政程序法規定，行政機關將違法行政處分轉換為其他行政處分時，下列敘述何者錯誤？
(A) 轉換不符作成原行政處分之目的毒，不得轉換
(B) 轉換法律效果對當事人更為不利者，不得轉換
(C) 羈束處分不得轉換為裁量處分
(D) 轉換不應給予當事人陳述意見之機會

(D)414. 依照行政程序法規定1.行政機關將違法行政處分轉換為其他行政處分時，應受下列何原則限制？
(A) 轉換不符作成原行政處分之目的者，不得轉換
(B) 轉換法律效果對當事人更為不利者>不得轉換
(C) 羈束處分不得轉換為裁量處分
(D) 以上皆是

(D)415. 關於違法行政處分，下列敘述何者錯誤？
(A) 有重大明顯瑕疵之行政處分，自始無效
(B) 行政機關在一定條件下，得依職權撤銷違法行政處分
(C) 未經申請而作成之行政處分，得事後補正
(D) 違法行政處分皆不得轉換為合法行政處分

(D)416. 關於違法行政處分之轉換，下列敘述何者正確？
(A) 羈束處分得轉換為裁量處分
(B) 轉換對公益有重大危害者，仍得轉換
(C) 轉換法律效果對當事人更為不利者，仍得轉換
(D) 轉換前原則上應給予當事人陳述意見之機會

(C)417. 行政機關關於轉換行政處分前，對於當事人應進行下列何種行為？
(A) 應告知當事人
(B) 應通知當事人
(C) 轉換前原則上應給予當事人陳述意見之機會
(D) 可直接依職權轉換

(D)418. 關於行政處分之蔣換，下列敘述何者正確？
(A) 羈束處分得轉換為裁量處分
(B) 何法行政處分得轉換為其他行政處分
(C) 轉換法律效果對當事人更為有利者，不得轉換
(D) 行政處分轉換後之處分須具有與原處分具有相同實質及程序要件

(A)419. 下列何者為行政程序法第H6條明文禁止行政處分轉換之情形？
(A) 違法行政處分，依同法第117條但書規定，不得撤銷者
(B) 轉換法律效果對當事人更為有利者
(C) 轉換後更符合行政目的之達成者
(D) 由裁量處分轉換為另一裁量處分

(D)420. 依行政程序法第H7條規定，違法行政處分於法定救濟期間經過後，下列那些機關得依職權撤銷？1原處分機關2原處分機關之上級機關3監察院4總統府
(A) 3,4
(B) 1,3
(C) 2,4
(D) 1,2

(A)421. 依行政程序法規定，違法行政處分於法定救濟期間經過後，下列何者得依職權為全部或一部之撤銷？
(A) 原處分機關或其上級機關
(B) 僅原處分機關
(C) 僅上級機關
(D) 行政法院

(A)422. 依據我國行政程序法之規定，下列有關行政處分撤銷之敘述何者錯誤？
(A) 違法行政處分於法定救濟期間經過後即不得撤銷
(B) 違法行政處分於法定救濟期間過後，原處分機關得依職權為全部或一部之撤銷
(C) 撤銷對公益有重大危害者，不得撤銷
(D) 受益人無行政程序法第119條所列信賴不值得保護之情形，而信賴授予利益之行政處分，其信賴利益顯然大於撤銷所欲維護之公益者，不得撤銷

(C)423. 作出違法行政處分之機關，發現若撤銷違法行政處分對於公益有重大之影響者，則？
(A) 原處分機關得依職權為全部或一部之撤銷
(B) 其上級機關，則為全部或一部之撤銷
(C) 不得撤銷
(D) 依人民申請而撤銷

(D)424. 依據行政程序法規定，有關行政機關違法行政處分之敘述，下列敘述何者錯誤？
(A) 得轉換為與原處分具有相同實質及程序要件之其他行政處分
(B) 不得轉換為對當事人更不利之處分
(C) 違法行政處分經撤銷後，溯及既往失其效力
(D) 違法行政處分於法定救濟期間經過後，不得撤銷之

(A)425. 違法之行政處分經撤銷後，其效力為何？
(A) 原則上溯及既往失效，但為維護公益或避免受益人財產之損失，得另定失效日期
(B) 一律溯及既往失去效力
(C) 由行政機關裁量以定其失效日期
(D) 原則上向未來失效，但為維護公益得另定失效日期

(A)426. 違法行政處分經撤銷後，溯及既往失其效力。但為維護公益或為避免受益人財產上之損失1為撤銷之機關可否另定失其效力之日期？
(A) 可以
(B) 不可以
(C) 須經上級機關核准
(D) 須以法律明文規定者

(B)427. 行政處分內容雖有瑕疵，但仍有效力。經有權機關使該行政處分溯及既往失其效力，稱為？
(A) 行政處分之廢止
(B) 行政處分之撤銷
(C) 行政處分之消滅
(D) 行政處分之變更

(B)428. 違法行政處分經撤銷後>其行政處分之效力如何？
(A) 仍然有效
(B) 溯及既往失其效力
(C) 自撤銷日起失其效力
(D) 經申請不適用而失效

(B)429. 違法行政處分經原作成行政處分之機關撤銷後，其行政處分之效力為：
(A) 自撤銷日起失效
(B) 溯及既往失其效力
(C) 為保障受益人權益，對其有利部分不因原行政處分被撤銷而失效
(D) 依個案經利害關係人申請後由上級主管機關公告

(A)430. 下列何者並非行政程序法第119條所規定受益人信賴不值得保護之情形？
(A) 不知法令者
(B) 以賄賂方法，使行政機關作成行政處分者
(C) 對重要事項提供不正確資料或為不完全陳述，致使行政機關依該資料或陳述而作成行政處分者
(D) 明知行政處分違法者

(B)431. 違法行政處分之受益人，下列何者非屬信賴不值得保護的情形？
(A) 以賄賂方法使原行政處分機關作成行政處分
(B) 對重要事項為不完全陳述，致使原行政處分機關依該陳述而作成行政處分
(C) 對原行政處分之違法因重大過失而不知
(D) 行政處分之撤銷或變更對公共利益有重大危害

(D)432. 依行政程序法之規定，下列何者非屬行政處分受益人信賴不值得保護之情形？
(A) 對行政機關提供不正確資料或為不完全之陳述
(B) 明知行政處分違法
(C) 用詐欺方式使行政機關作成違法之行政處分
(D) 未依行政機關之請求提供必要之文件

(D)433. 下列何者非屬行政程序法所稱行政處分受益人信賴不值得保護之情形？
(A) 以詐欺、脅迫或賄賂方法，使行政機關作成行政處分
(B) 明知行政處分違法
(C) 對重要事項提供不正確資料，致使行政機關依該資料作成行政處分
(D) 行政處分所依據之事實事後發生變更

(C)434. 下列何項行政處分之受益人，其信賴值得保護？
(A) 知行政處分違法或因過失而不知者
(B) 以賄賂方法使行政機關作成行政處分者
(C) 未於作成行政處分機關通知期間內提出陳述意見書者
(D) 對重要事項提供不正確資料，致使行政機關依該資料而作成行政處分者

(B)435. 下列何者屬於行政程序法第119條所規定受益人信賴值得保護之情形？
(A) 以賄賂方法，使行政機關作成行政處分者
(B) 因輕忽過失而不知行政處分違法
(C) 對重要事項提供不正確資料或為不完全陳述，致使行政機關依該資料或陳述而作成行政處分者
(D) 明知行政處分違法者［§119］

(A)436. 授予利益之違法行政處分之􆓞銷，當受益人因信賴該處分致遭受財產上之損失者，下列敘述何者錯誤？
(A) 在任何情況下，為撤銷之機關皆應給予合理之補償
(B) 補償額度不得超過受益人因該處分存續可得之利益
(C) 補償之金額，相對人有不服者，得向行政法院提起給付訴訟
(D) 得由原處分機關或其上級機關依職權進行撤銷

(B)437. 違法授益處分經撤銷後，關於補償之爭議及補償之金額，相對人有不服者，得向行政法院提起下列何項訴訟？
(A) 確認訴訟
(B) 給付訴訟
(C) 撤銷訴訟
(D) 一般形成訴訟

(B)438. 違法授益處分經撤銷後，關於補償之爭議及補償之金額，相對人有不服者，得向下列何機關提起給付訴訟？
(A) 地方法院
(B) 行政法院
(C) 高等法院
(D) 行政處分之上級機關

(C)439. 依據我國行政程序法之規定>下列有關授予利益之行政處分的敘述，何者錯誤？
(A) 授予利益之違法行政處分經撤銷後，如受益人無信賴不值得保護之情形，其因信賴該處分致遭受財產上之損失者，為撤銷之機關應給予合理之補償
(B) 授予利益之合法行政處分，經法規准許廢止者，得由原處分機關依職權為全部或一部之廢止
(C) 授予利益之合法行政處分之廢止，應自廢止原因發生後一年內為之
(D) 對於授予利益之違法行政處分產生之補償爭議及補償金額，相對人有不服者，得向行政法院提起給付訴訟

(B)440. 行政處分經撤銷後，機關應予受益人合理之補償。該項補償之性質為何？
(A) 公益徵收之補償
(B) 信賴利益之補償
(C) 違法侵害之補償
(D) 社會衡平之補償

(B)441. 授予利益之違法行政處分經撤銷後，如受益人無前條所列信賴不值保護之情形，其因信賴該處分致遭受財產上之損失者，為撤銷之機關應給予？
(A) 合理之賠償
(B) 合理之補償
(C) 適當之處罰
(D) 適當之賠償

(B)442. 授予利益之違法行政處分經撤銷後，如受益人無前條所列信賴不值保護之情形，其因信賴該處分致遭受財產上之損失者>為撤銷之機關應給予合理之補償。補償額度是否有限制？
(A) 可得之利益蕪上限
(B) 不得超過受益人因該處分存續可得之利益
(C) 可超過受益人因該處分存續可得之利益
(D) 可得之利益由法院判決

(D)443. 授予利益之違法行政處分經撤銷後，如受益人無信瀨不得保護之情形，其因信賴該處分致遭受財產上之損失者，那個機關應給予合理之補償？
(A) 原處分機關
(B) 原處分機關之上級機關
(C) 法院
(D) 撤銷之機關

(D)444. 在下列何種事由廢止授予利益之合法行政處分時，行政處分機關對受益人因信賴該處分致遭受財產上之損失，應給予合理之補償？
(A) 原處分機關保留行政處分之廢止權者
(B) 法規准許廢止者
(C) 附負擔之行政處分，受益人未履行該負擔者
(D) 行政處分所依據之法規或事實事後發生變更，致不廢止該處分對公益將有危害者

(C)445. 行政機關廢止授益處分時，於下列何種情形應給予受益人信賴利益之損失補償？
(A) 受益人未履行負擔附款
(B) 法規准許廢止處分
(C) 為防止對公益重大危害
(D) 原處分機關保留廢止權

(D)446. 依行政程序法第一百二十條之規定，設某授予利益之違法行政處分，因環保問題被撤銷後，如受益人之信賴值得保護，其因信賴該處分致遭受財產上之損失者，為撤銷之機關應給予何種合理之處置？
(A) 慰撫金
(B) 怠金
(C) 賠償
(D) 補償

(C)447. 關於違法授益處分撤銷後之損失補償，下列敘述何者錯誤？
(A) 須受益人無信賴不值得保護之情形
(B) 相對人對補償金額不服者，得向行政法院提起給付訴訟
(C) 補償請求權，自處分撤銷時起逾2年不行使而消滅
(D) 補償額度不超過因該處分存續可得之利益

(C)448. 行政機關所為之違法授益處分，因受下列何種原則之拘束，而不得任意撤銷？
(A) 平等原則
(B) 法律保留原則
(C) 信賴保護原則
(D) 比例原則

(B)449. 依行政程序法規定，關於違法授益行政處分之撤銷，下列敘述何者正確？
(A) 受益人之信賴值得保護時，即不得撤銷
(B) 撤銷對公益有重大危害者，即不得撤銷
(C) 受益人因重大過失而不知行政處分違法者，即不得撤銷
(D) 撤銷所欲維護之公益大於受益人之信賴利益者，即不得撤銷

(B)450. 依行政程序法規定，違法行政處分於法定救濟期間經過後，原處分機關或其上級機關得依職權為全部或一部之撤銷。而該撤銷應自原處分機關或其上級機關初有.撤銷原因時起幾年內為之？
(A) 1年內
(B) 2年內
(C) 3年內
(D) 5年內

(A)451. 按行政程序法第121條第2項規定之補償請求權，自處分撤銷時起逾幾年不行使而濱遞？
(A) 5年
(B) 4年
(C) 3年
(D) 2年

(A)452. 依行政程序法第121條規定之補償請求權，自行政機關告知其事由時起，因幾年間不行使而消滅？直處殳撒鎖時起，逾幾年不行使而消滅？
(A) 2年；5年
(B) l年；2年
(C) 2年；2年
(D) 1年；5年

(B)453. 行政程序法第121條規定之補償請求權，自行政機關告知其事由時起，因幾年間不行使而消滅？
(A) 1年
(B) 2年
(C) 5年
(D) 10年

(B)454. 依據行政程序法規定，有關違法行政處分於法定救濟期間經過後之撤銷權，應自原處分機關或其上級機關知有撤銷原因時起幾年內為之？
(A) 1年
(B) 2年
(C) 3年
(D) 4年

(C)455. 行政程序法第121條第1項規定：「第一百十七條之撤銷權，應自原處分機關或其上級機關知有撤銷原因時起二年內為之。」其中關於「知有撤銷原因時」之起算，依實務見解，下列何者正確？
(A) 自行政處分作成時起算
(B) 自略加調查而不難得知時起算
(C) 自確實知悉撤銷原因時起算
(D) 自民眾向行政機關檢舉時起算

(B)456. 違法行政處分於法定救濟期間經過後，原處分機關或其上級機關得依職權為全部或一部之撤銷，依行政程序法規定，最遲應在知有撤銷原因起幾年內為之？
(A) 年
(B) 二年
(C) 三年
(D) 五年

(D)457. 依行政程序法之規定，行政機關對違法行政處分之撤銷權除斥期間為：
(A) 自機關為處分時起一年內為之
(B) 自機關知有撤銷原因起一年內為之
(C) 自機關為處分時起二年內為之
(D) 自機關知有撤銷原因起二年內為之

(D)458. 依行政程序法，違法行政處分於法定救濟期間經過後，原處分機關得於知有撤銷原因時起，至遲多久期間內予以撤銷？
(A) 3個月
(B) 6個月
(C) 1年
(D) 2年

(B)459. 下列關於行政機關依職權撤銷違法行政處分期間之敘述，何者正確？
(A) 應自撤銷原因發生後2年內為之
(B) 應自原處分機關或其上級機關知有撤銷原因時起2年內為之
(C) 於處分作成之日起因5年間不行使而消滅
(D) 不受期間之限制

